Project Name,Address Wallet,Address,Investment,Profit,Transactions,,Win Rate,Total Invested,Total Returned,ROI %
Warren,https://solscan.io/account/9JerKiGQDWqpiphRdhQCm4Wm9ZXoUyyoK8u8PwfGruzK,9JerKiGQDWqpiphRdhQCm4Wm9ZXoUyyoK8u8PwfGruzK,$884 ,"$1,942 ",1,,,,,
Warren,https://solscan.io/account/FaQ6a7FraeiCAXFXzTytDSfosTKRE3ssLRqyfExpZexk,FaQ6a7FraeiCAXFXzTytDSfosTKRE3ssLRqyfExpZexk,$332 ,"$1,438 ",1,,,,,
Warren,https://solscan.io/account/5z6kaZ5Ekq8PXoTZ3TBueETUPDF8dGy9Le3huRCHAjkD,5z6kaZ5Ekq8PXoTZ3TBueETUPDF8dGy9Le3huRCHAjkD,$736 ,$995 ,1,,,,,
Warren,https://solscan.io/account/J1FjDiZ9Uht7KyoJnSSUSTEDSgUKttt2KR6GiMyf8jsa,J1FjDiZ9Uht7KyoJnSSUSTEDSgUKttt2KR6GiMyf8jsa,"$1,473 ",$965 ,1,,,,,
Warren,https://solscan.io/account/HXNMs5Ex56phUvM81Vkk7ArS7xRQnkMozwNJTWUKYAPh,HXNMs5Ex56phUvM81Vkk7ArS7xRQnkMozwNJTWUKYAPh,$697 ,$850 ,1,,,,,
Warren,https://solscan.io/account/FcDjPtyXCmYecsHa68YysYo66jRfPpRBqF6HToVy6FzR,FcDjPtyXCmYecsHa68YysYo66jRfPpRBqF6HToVy6FzR,"$1,478 ",$785 ,1,,,,,
Warren,https://solscan.io/account/CVNNoRJiJDLG1Hi9Jry682CiM8VRgqK2Sxnx6J3EVpzn,CVNNoRJiJDLG1Hi9Jry682CiM8VRgqK2Sxnx6J3EVpzn,$736 ,$717 ,1,,,,,
Warren,https://solscan.io/account/E8FPVbVPd3ttfE6EYk8mEZFbVGNje8WvHuXncc6MH1Td,E8FPVbVPd3ttfE6EYk8mEZFbVGNje8WvHuXncc6MH1Td,$733 ,$564 ,1,,,,,
Warren,https://solscan.io/account/3DCph9Y7gH93fzHQNEjcJVeCV5j5k76U2WhWbHZH5wpp,3DCph9Y7gH93fzHQNEjcJVeCV5j5k76U2WhWbHZH5wpp,$728 ,$551 ,1,,,,,
Warren,https://solscan.io/account/m3f98NrnZwc2KLepUY5CSZFw9XipwEKAWSmrNyZXiKf,m3f98NrnZwc2KLepUY5CSZFw9XipwEKAWSmrNyZXiKf,$442 ,$535 ,1,,,,,
Warren,https://solscan.io/account/HBDc1wVKkJbWswZDb2svGtPfB5cccRkVqBRcVTit35rf,HBDc1wVKkJbWswZDb2svGtPfB5cccRkVqBRcVTit35rf,"$1,477 ",$493 ,1,,,,,
Warren,https://solscan.io/account/EfbbhahGNuhqEraRZXrwETfsaKxScngEttdQixWAW4WE,EfbbhahGNuhqEraRZXrwETfsaKxScngEttdQixWAW4WE,$740 ,$492 ,1,,,,,
Warren,https://solscan.io/account/B4C8RxseXf1bCeTzkeyvbaA2nLDKR7b7wrmAmJQ4BZe9,B4C8RxseXf1bCeTzkeyvbaA2nLDKR7b7wrmAmJQ4BZe9,$294 ,$444 ,1,,,,,
Warren,https://solscan.io/account/6ktY85wiQDxoBkupXb1vW41Z3Xfh9CnPcVayh9m1rNbX,6ktY85wiQDxoBkupXb1vW41Z3Xfh9CnPcVayh9m1rNbX,$291 ,$439 ,1,,,,,
Warren,https://solscan.io/account/EWrWLubcfwTLpN4s3sUZCvUkYR57YxzAhqSfKXTiudvg,EWrWLubcfwTLpN4s3sUZCvUkYR57YxzAhqSfKXTiudvg,$294 ,$436 ,1,,,,,
Warren,https://solscan.io/account/2HGoTA85Wh3hVnxS3qpWDi8m5craEaVCrwPudkMdSp3S,2HGoTA85Wh3hVnxS3qpWDi8m5craEaVCrwPudkMdSp3S,$518 ,$391 ,1,,,,,
Warren,https://solscan.io/account/GSmFkNB5Uu2MyNTsDTAXDaQEcdErSVfJcjQSJ1kdvrEN,GSmFkNB5Uu2MyNTsDTAXDaQEcdErSVfJcjQSJ1kdvrEN,$291 ,$342 ,1,,,,,
