Project Name,Address Wallet,Address,Investment,Profit,Transactions,Win Rate,PnL,ROI,Initial Balance
MOONWIF,https://solscan.io/account/AUkpGfjAUiTycNeNekrbWHyb763g8GpkB87TB5617YkB,AUkpGfjAUiTycNeNekrbWHyb763g8GpkB87TB5617YkB,$424,$851,1,,,,
MOONWIF,https://solscan.io/account/9YWZYm4Secnq3GzkwDgaN5KWUJN8wb9L78mSDGXjtxY2,9YWZYm4Secnq3GzkwDgaN5KWUJN8wb9L78mSDGXjtxY2,$205,$490,1,,,,
MOONWIF,https://solscan.io/account/Ctch9oXwV9Shx2GJzLPmYnf5c3mtFpxZG4CAjNwQu7cE,Ctch9oXwV9Shx2GJzLPmYnf5c3mtFpxZG4CAjNwQu7cE,$141,$340,1,,,,
MOONWIF,https://solscan.io/account/AQMuiGadSyVBXQfLfUBNfEFJR1T1pxNUx4PJK3AbWQtc,AQMuiGadSyVBXQfLfUBNfEFJR1T1pxNUx4PJK3AbWQtc,$76,$324,1,,,,
MOONWIF,https://solscan.io/account/6yRTsACXXu3ZntU64AR7zQtjEee9zVquZqs34obz5vBa,6yRTsACXXu3ZntU64AR7zQtjEee9zVquZqs34obz5vBa,$135,$304,1,,,,
MOONWIF,https://solscan.io/account/bobCPc5nqVoX7r8gKzCMPLrKjFidjnSCrAdcYGCH2Ye,bobCPc5nqVoX7r8gKzCMPLrKjFidjnSCrAdcYGCH2Ye,$8.8,$281,1,,,,
MOONWIF,https://solscan.io/account/2EhSmmYza9UoeyUEZEKCcvMLoAdWES4XBTPXcfLzCG9h,2EhSmmYza9UoeyUEZEKCcvMLoAdWES4XBTPXcfLzCG9h,$13,$272,1,,,,
MOONWIF,https://solscan.io/account/A2VwbAiApPxNnXakfsyKakyPbJC1ZLSpiKdEqNMZiY7a,A2VwbAiApPxNnXakfsyKakyPbJC1ZLSpiKdEqNMZiY7a,$79,$250,1,,,,
MOONWIF,https://solscan.io/account/4Zo6Kh9mPh6e6YpoiQRh5UTyouyYhuD37b7rApoaf4sM,4Zo6Kh9mPh6e6YpoiQRh5UTyouyYhuD37b7rApoaf4sM,$110,$227,1,,,,
MOONWIF,https://solscan.io/account/BEbh5WtmDNwsou1TQF6KdtRHtk9w8stA9YyLREnFp4kD,BEbh5WtmDNwsou1TQF6KdtRHtk9w8stA9YyLREnFp4kD,$13,$205,1,,,,
FROG,https://solscan.io/account/sCMNrLxCr3k6mYrvQ4FTZ3bZm9f7S1hmkrBUHqKcKiA,sCMNrLxCr3k6mYrvQ4FTZ3bZm9f7S1hmkrBUHqKcKiA,$378,$5K,1,,,,
FROG,https://solscan.io/account/2gASuuyYaAK5nzdmHqp9nDaSSTzSLKW5DzXHV9wGz8mJ,2gASuuyYaAK5nzdmHqp9nDaSSTzSLKW5DzXHV9wGz8mJ,$134,$555,1,,,,
$BUCKY,https://solscan.io/account/AheLpB3eFXLEqFaSN7SSRWCKcYmuHuhJy8JhYKkzQXWQ,AheLpB3eFXLEqFaSN7SSRWCKcYmuHuhJy8JhYKkzQXWQ,$7K,$32K,1,,,,
$BUCKY,https://solscan.io/account/6yuYGqgfnB6krtMQdc1RV44vQaEdsFkxdazXPKmpAnQU,6yuYGqgfnB6krtMQdc1RV44vQaEdsFkxdazXPKmpAnQU,$4K,$21K,1,,,,
$BUCKY,https://solscan.io/account/7EZH47pF8hKp7Eu2zs4PZUXSvvBDiT1D4UUjQisz777,7EZH47pF8hKp7Eu2zs4PZUXSvvBDiT1D4UUjQisz777,$4K,$9K,1,,,,
$BUCKY,https://solscan.io/account/GgSEwt7H1Pn7cpj2go5wtq85WNo5QFZiowTuuMUK3duY,GgSEwt7H1Pn7cpj2go5wtq85WNo5QFZiowTuuMUK3duY,$2K,$9K,1,,,,
$BUCKY,https://solscan.io/account/5tKDjnNHJCvue3hZGAzoWGZ1uaM5KYEfUGefKLBuwTXz,5tKDjnNHJCvue3hZGAzoWGZ1uaM5KYEfUGefKLBuwTXz,$4K,$8K,1,,,,
$BUCKY,https://solscan.io/account/6YPo7gRotagXRLqud6XYLa18eZcrZkA5RxV21kn5DeyH,6YPo7gRotagXRLqud6XYLa18eZcrZkA5RxV21kn5DeyH,$3K,$8K,1,,,,
$BUCKY,https://solscan.io/account/EmBmfDDdFJeiAvebcchCZdkfqH1sBmR6BEabiAkV9Vhu,EmBmfDDdFJeiAvebcchCZdkfqH1sBmR6BEabiAkV9Vhu,$1K,$6K,1,,,,
$BUCKY,https://solscan.io/account/5hDohYeYDNJwgSToJitJEAopVfCKJNYKDNsuvgt9wMUS,5hDohYeYDNJwgSToJitJEAopVfCKJNYKDNsuvgt9wMUS,$51,$5K,1,,,,
BAKED,https://solscan.io/account/GUw1Av3EGLMtGJUUY4RgQpR4SR8N2EMyowtD8vuNs8ab,GUw1Av3EGLMtGJUUY4RgQpR4SR8N2EMyowtD8vuNs8ab,$10K,$3.0M,1,,,,
BAKED,https://solscan.io/account/HWaw6LcZM8iPWbH41xJmaSzdR9jEeqMkfWhR43woTSUq,HWaw6LcZM8iPWbH41xJmaSzdR9jEeqMkfWhR43woTSUq,$708,$364K,1,,,,
BAKED,https://solscan.io/account/69BuLu8d1KGA7h9ANK9eLU5NrivPY5ibhoRgYCwksPtB,69BuLu8d1KGA7h9ANK9eLU5NrivPY5ibhoRgYCwksPtB,$3K,$218K,1,,,,
BAKED,https://solscan.io/account/FWF2aebmkD3cVKK3LXkozTKn55k56GKqPkEPar8nDWnH,FWF2aebmkD3cVKK3LXkozTKn55k56GKqPkEPar8nDWnH,$992,$98K,1,,,,
BAKED,https://solscan.io/account/FPDci8Y4Csxetu7csvPe9Mcv9NnFfm72GopfMBucSKZo,FPDci8Y4Csxetu7csvPe9Mcv9NnFfm72GopfMBucSKZo,$7K,$94K,1,,,,
BAKED,https://solscan.io/account/CaYmad6V45ovSo2gwu6ugLJjyDAHKSe9Gh7G2GMZRAWF,CaYmad6V45ovSo2gwu6ugLJjyDAHKSe9Gh7G2GMZRAWF,$7K,$86K,1,,,,
BAKED,https://solscan.io/account/AECZnnPe4swqY5way9UZL1J98Mm6befnHauTSGw8gHWf,AECZnnPe4swqY5way9UZL1J98Mm6befnHauTSGw8gHWf,$708,$81K,1,,,,
BAKED,https://solscan.io/account/Em56V7RK9NeNXwCsaZ4gX4pwXb6Wgr1WgnEe6iDvbUKW,Em56V7RK9NeNXwCsaZ4gX4pwXb6Wgr1WgnEe6iDvbUKW,$7K,$79K,1,,,,
BAKED,https://solscan.io/account/EzhA5veSbqx7APCJier7WfPaBfknUgGYifQBHV3JGsQw,EzhA5veSbqx7APCJier7WfPaBfknUgGYifQBHV3JGsQw,$18K,$55K,1,,,,
BAKED,https://solscan.io/account/Ae4BioLbmn8pJuY4JM9N7FUZrpDXQP1JjiLfQRxVcf9V,Ae4BioLbmn8pJuY4JM9N7FUZrpDXQP1JjiLfQRxVcf9V,$354,$54K,1,,,,
BAKED,https://solscan.io/account/4ZsaMc76yxbmNcZvtmKeQ9rd6NPbD1ZDFdTZiQPMndQh,4ZsaMc76yxbmNcZvtmKeQ9rd6NPbD1ZDFdTZiQPMndQh,$4K,$51K,1,,,,
BAKED,https://solscan.io/account/Fw1Sq9ZdjzZsZWDnNt8dKuSo1P2yoTL3FJv6N3N6ExeP,Fw1Sq9ZdjzZsZWDnNt8dKuSo1P2yoTL3FJv6N3N6ExeP,$708,$40K,1,,,,
BAKED,https://solscan.io/account/F4EtWwRmjwFceABfF1RLmLZ1KQfbx2qCmLg3opyp3zAH,F4EtWwRmjwFceABfF1RLmLZ1KQfbx2qCmLg3opyp3zAH,$992,$39K,1,,,,
BAKED,https://solscan.io/account/43MzwxoW1F7MeHvor4eZmmUwj5rQSUYBoUnFk3cC7e7K,43MzwxoW1F7MeHvor4eZmmUwj5rQSUYBoUnFk3cC7e7K,$567,$39K,1,,,,
BAKED,https://solscan.io/account/bgPSxJoQS95e3QJj6Ln8KHhdNtXk4zPnGVfK9bDJRbC,bgPSxJoQS95e3QJj6Ln8KHhdNtXk4zPnGVfK9bDJRbC,$7K,$38K,1,,,,
BAKED,https://solscan.io/account/E5EnpidRNGBHQap3HF7i1iaRj4beZtMji3MPbC8bp7Mw,E5EnpidRNGBHQap3HF7i1iaRj4beZtMji3MPbC8bp7Mw,$708,$32K,1,,,,
BAKED,https://solscan.io/account/7BKpKCnyGAS5DBxQTaMv3hHJBxYExLFXVCdUgzvfRiJS,7BKpKCnyGAS5DBxQTaMv3hHJBxYExLFXVCdUgzvfRiJS,$99,$31K,1,,,,
BAKED,https://solscan.io/account/BXpb3SWRdcuU6JTub6XCLZELQJ6kBqG7ckxede9K97N7,BXpb3SWRdcuU6JTub6XCLZELQJ6kBqG7ckxede9K97N7,$708,$24K,1,,,,
BAKED,https://solscan.io/account/9Gn94wCaDVy23sntihVUBgZGHicsci9uLiifF9XtNoMT,9Gn94wCaDVy23sntihVUBgZGHicsci9uLiifF9XtNoMT,$708,$23K,1,,,,
BAKED,https://solscan.io/account/5gE9Ko5H9Kg3V1gVe9FcgV3KCDsBPLVqkdeakmXU9e1y,5gE9Ko5H9Kg3V1gVe9FcgV3KCDsBPLVqkdeakmXU9e1y,$1K,$14K,1,,,,
