Project Name,Address Wallet,Address,Investment,Profit,Transactions,,Win Rate,Total Invested,Total Returned,ROI %
SC,https://solscan.io/account/GQLH4MaDGPJGBUSvvpM5YQ2GxFcsvNkGkF3tPcsrxLfC,GQLH4MaDGPJGBUSvvpM5YQ2GxFcsvNkGkF3tPcsrxLfC,"$7,999",$18.3K,1,,,,,
OBEMA,https://solscan.io/account/7c76aqoRpDakJa98p6GSrt1UUkTTXrbkBP717Ji8vjuB,7c76aqoRpDakJa98p6GSrt1UUkTTXrbkBP717Ji8vjuB,"$1,138",$13.1K,1,,,,,
OBEMA,https://solscan.io/account/9utAocoBsRnHDHjma3iSpqe8ks2HLPWcvHKyAafvAUuW,9utAocoBsRnHDHjma3iSpqe8ks2HLPWcvHKyAafvAUuW,"$4,965",$10.1K,1,,,,,
OBEMA,https://solscan.io/account/F6GzKPFuiWtfsAELPPhB7aQztDArLFGvNKjNcKoyi1xK,F6GzKPFuiWtfsAELPPhB7aQztDArLFGvNKjNcKoyi1xK,"$1,634","$9,138",1,,,,,
OBEMA,https://solscan.io/account/8xxHhg93iQbb94csWtWcgZCjSLhC1zYXAB7DfiRdnaM6,8xxHhg93iQbb94csWtWcgZCjSLhC1zYXAB7DfiRdnaM6,"$1,370","$8,292",1,,,,,
OBEMA,https://solscan.io/account/4MJaMqcZWHNX4tF38ZUHf9S76qLsCYxcKz2bajj5myBN,4MJaMqcZWHNX4tF38ZUHf9S76qLsCYxcKz2bajj5myBN,"$4,015","$7,007",1,,,,,
OBEMA,https://solscan.io/account/EXQw1hX1KbiHybmbaVffoiYVjHNm32EqTrVgG1WV7Cnp,EXQw1hX1KbiHybmbaVffoiYVjHNm32EqTrVgG1WV7Cnp,$521,"$5,850",1,,,,,
OBEMA,https://solscan.io/account/mZjYGHzCAtySqAyyL2Ngg9VXCqQvXJZBVCgjDPGJH3z,mZjYGHzCAtySqAyyL2Ngg9VXCqQvXJZBVCgjDPGJH3z,"$1,000","$4,807",1,,,,,
OBEMA,https://solscan.io/account/654YoP5gvUqZHae4AkZaLeBEJ7wGKLQZ2QnXw7JWxA8i,654YoP5gvUqZHae4AkZaLeBEJ7wGKLQZ2QnXw7JWxA8i,$449,"$4,223",1,,,,,
OBEMA,https://solscan.io/account/yoyojFYMAAQNziZWuqHyiuHVD8Ah4QSosvFYG4MhYdx,yoyojFYMAAQNziZWuqHyiuHVD8Ah4QSosvFYG4MhYdx,$10.0K,"$4,189",1,,,,,
